dataset,location,model_type,model_label,seed_count,seeds,parameter_count,train_samples,validation_samples,test_samples,mean_mae_cm_mean,mean_mae_cm_std,mean_rmse_cm_mean,mean_rmse_cm_std,mean_csi_mean,mean_csi_std,mean_pod_mean,mean_pod_std,mean_far_mean,mean_far_std,mae_reduction_pct_mean,mae_reduction_pct_std,rmse_reduction_pct_mean,rmse_reduction_pct_std,csi_gain_mean,csi_gain_std,latency_ms_per_sample_mean,latency_ms_per_sample_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std,runtime_sec_mean,runtime_sec_std
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,"42,44,52,77,2026",9412,234,52,312,1.7950009322077989,0.06747803229567716,6.838651503549218,0.3382512828065204,0.7692101838659607,0.01728911209397409,0.8095993166622811,0.025823194259614803,0.06803247117888465,0.00873053262019423,20.31332048790846,2.9955975159514323,25.08815493189912,3.7052667003922672,0.08056235341204374,0.01728911209397409,3.935178999963682,0.0939799262198044,199.37890625,0.0,35.84006581306458,0.15163231645881423
larno_ukea,ukea,convlstm,Conv-LSTM,5,"42,44,52,77,2026",22084,234,52,312,1.7147933415302083,0.06015384855578321,6.7199355769012366,0.30432806776717874,0.7713329013249107,0.013138381935402139,0.8178130562044172,0.0289728081294569,0.07425177740852457,0.0185632065654861,23.87402982130187,2.670450118032959,26.38859100464739,3.333665569976404,0.08268507087099371,0.013138381935402139,1.6382550005801022,0.08417884724057881,23.41845703125,0.0,21.93636202812195,0.04041023662308752
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,"42,44,52,77,2026",22229,234,52,312,1.9114002602148972,0.09177257702831325,7.2288391289828,0.24360865296049816,0.7583377827543546,0.009454592720236415,0.8095239231472545,0.028696258250932125,0.08297871912145771,0.02469566552196201,15.145927101145205,4.074121524081378,20.813967991856813,2.6685339439148774,0.06968995230043766,0.009454592720236415,1.5539165001246147,0.06344683470716819,35.85498046875,0.0,22.679385662078857,0.3577308527830445
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,3,"42,44,52",9412,256,64,128,0.8353506752072317,0.13502051570920248,2.775089809448358,0.4095199496306298,0.8527186690426594,0.010616565384606874,0.8975068890028501,0.010725230231253274,0.06088995079492141,0.0020632871755960703,5.402277622528347,8.862643233115271,14.1922994297025,5.0934736558071005,0.01592099580953854,0.006869630448505837,3.961675833367432,0.07510110551201157,201.78515625,0.0,27.57603907585144,0.11643499686999476
urbanflood24,location1,convlstm,Conv-LSTM,3,"42,44,52",22084,256,64,128,0.7973787791182677,0.07044069499707319,2.9898042811533965,0.33785834645350177,0.8469907803033381,0.0067118732823526015,0.896489434923134,0.013783820603668269,0.0668202555249062,0.0070021802608284675,9.179497573538715,2.594284646997509,7.148868068548741,4.311419338408962,0.010193107070217219,0.004419547060964735,1.8906008330911088,0.21963468271819336,26.69970703125,0.0,26.035947561264038,3.5675739890899454
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,3,"42,44,52",22229,256,64,128,0.8049856802737382,0.08279838494773434,3.1016071341547566,0.3409333073029123,0.848704972282052,0.008233750011942577,0.8889354551689117,0.011030709756718002,0.05582417317600066,0.004175094373110724,8.462578394611645,2.438625798512986,3.7610761487301025,1.9082306577418104,0.011907299048931138,0.005346061283691488,1.6805958332649122,0.04270158885717195,39.13623046875,0.0,20.383325815200806,0.32328078753004813
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,3,"42,44,52",9412,256,64,128,0.3976546639991478,0.024160421701245067,2.966149192214403,0.2015470515937271,0.78741254309643,0.017843275711472102,0.8340917599118054,0.017530333807025535,0.07650807990490409,0.0035978130861726945,13.418391734529404,2.901064305405725,9.09374768472595,3.187071010338924,0.04134110555209125,0.009881275446841784,3.978317499665233,0.04447185051243391,201.78515625,0.0,27.885412295659382,0.0925921504679583
urbanflood24,location2,convlstm,Conv-LSTM,3,"42,44,52",22084,256,64,128,0.3823342377968541,0.02914321785390415,2.9895484799851304,0.11491396634322178,0.7795236703091676,0.010083829434783583,0.8425622235787334,0.014847978496810906,0.09850115297069768,0.012308532012355985,16.798389382422585,3.86015286351662,8.290953399288085,0.57971069028646,0.03345223276482878,0.0019459420077569758,2.2752891663306705,0.8721472292071796,26.69970703125,0.0,28.13554350535075,4.926718898400317
urbanflood24,location2,convlstm_attention,Conv-LSTM + Attention,3,"42,44,52",22229,256,64,128,0.38723233213270947,0.029669244586022995,3.0240022733311647,0.18086613680067656,0.7694839877077525,0.01510020083006184,0.8434831927235015,0.01517411911604617,0.11538910433605146,0.004614514498155592,15.730807905123088,3.9904620417137373,7.2972810817145755,2.5354285754509287,0.023412550163413703,0.007420725440316465,1.6432683337673855,0.04732123388976848,39.13623046875,0.0,20.5321261882782,0.25302176220095546
urbanflood24,location3,cnn_temporal_transformer,CNN-Temporal Transformer,3,"42,44,52",9412,256,64,128,0.6682909448218636,0.0873906187530902,2.8438011085679755,0.4045947237753529,0.8585513319563336,0.013907478261044773,0.8931512423954787,0.017480422040012617,0.046709108711434605,0.004819996838526474,3.0065880882912954,0.955752762824251,5.497836712023243,3.869919773333496,0.009370110002160073,0.003678409584200235,3.8642899996678657,0.02302610811442371,201.78515625,0.0,27.683298190434773,0.18916961525300566
urbanflood24,location3,convlstm,Conv-LSTM,3,"42,44,52",22084,256,64,128,0.6532060521446286,0.08485222907225314,2.921369219490013,0.32735610250378716,0.8549459846347717,0.011855972675268743,0.899889815034906,0.014518802414100834,0.059518569466913404,0.004226367911755775,5.201216188566908,1.7578813177171444,2.6171031424074807,1.5930097969635078,0.005764762680598186,0.0016362133093149138,1.8438741666614078,0.22070120782011537,26.69970703125,0.0,27.38657792409261,4.056787306965696
urbanflood24,location3,convlstm_attention,Conv-LSTM + Attention,3,"42,44,52",22229,256,64,128,0.6540226937069955,0.08630854141457935,2.9735047279720437,0.345385897174726,0.8526069051668405,0.013706795066117945,0.8959277440974968,0.013888959980365783,0.05804464286540636,0.004829838813534064,5.104811638778961,0.8879317617998621,0.9504151616292419,0.7704015047547436,0.0034256832126669337,0.0010540057328678237,1.6059275003499351,0.0917686901080823,39.13623046875,0.0,20.404841979344685,0.22428244901443364
