dataset,location,model_type,model_label,seed,lead_minutes,depth_bin_m,pixels,mae_cm,rmse_cm,persistence_mae_cm,persistence_rmse_cm
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,30,0.50+,26948,41.04821187331642,49.65378767382823,50.71377732093033,57.86708993304317
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,60,0.00-0.10,818554,0.7292426230995017,1.8471892034572537,0.291937604238047,0.9951907148157071
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,60,0.10-0.30,49362,7.276366880785187,9.497169346376001,11.322287135496346,13.7529954329003
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,60,0.30-0.50,23786,16.726605029397522,21.502974128257762,26.518831346871565,28.79677465500664
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,60,0.50+,44298,55.052601512242475,65.29030903673971,71.52171556189602,79.41411709651686
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,5,0.00-0.10,870695,0.12960619138067406,0.3960616844811366,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,5,0.10-0.30,41429,1.7030875534326348,3.3535947085717015,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,5,0.30-0.50,11440,4.097736208224213,7.030048952110941,5.389570514769196,7.850880605646717
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,5,0.50+,12436,9.215812448348675,11.831133142382994,10.86350979409865,13.455957836388228
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,15,0.00-0.10,858790,0.3665726290033665,0.9487432221052633,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,15,0.10-0.30,45324,3.6688271011835334,5.817235710068118,5.551429416960648,7.52614404114484
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,15,0.30-0.50,14100,9.518531281051906,14.965670018570465,13.154482909762265,17.345726286586768
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,15,0.50+,17786,24.837120187157897,31.52847664998929,30.235548896856844,36.21862047951262
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,30,0.00-0.10,842081,0.6515983761937346,1.6223350761590465,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,30,0.10-0.30,49072,5.419546609325684,7.6284333752388465,8.711201535935025,10.79257884431867
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,30,0.30-0.50,17899,13.011662036561788,18.540084039593996,19.382019927914072,22.741585499570398
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,30,0.50+,26948,40.33234157923405,49.055337973482544,50.71377732093033,57.86708993304317
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,60,0.00-0.10,818554,1.0065343329198808,2.4757614119412334,0.291937604238047,0.9951907148157071
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,60,0.10-0.30,49362,6.702430382191937,8.862877802053383,11.322287135496346,13.7529954329003
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,60,0.30-0.50,23786,14.813333469865341,20.19271002224799,26.518831346871565,28.79677465500664
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),2026,60,0.50+,44298,55.08696184445625,65.38461907251806,71.52171556189602,79.41411709651686
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,5,0.00-0.10,870695,0.13164447240665003,0.41520931309412484,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,5,0.10-0.30,41429,1.7528877661713689,3.413236411977731,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,5,0.30-0.50,11440,4.17403017203291,7.146171271919577,5.389570514769196,7.850880605646717
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,5,0.50+,12436,9.370570600838017,12.004012672074218,10.86350979409865,13.455957836388228
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,15,0.00-0.10,858790,0.3051732589393824,0.8678328086042402,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,15,0.10-0.30,45324,3.8819851248558206,6.116566231743926,5.551429416960648,7.52614404114484
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,15,0.30-0.50,14100,9.762250444462113,15.444743171771291,13.154482909762265,17.345726286586768
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,15,0.50+,17786,25.81407093370402,32.651463987788745,30.235548896856844,36.21862047951262
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,30,0.00-0.10,842081,0.5222566553923886,1.4587746893927298,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,30,0.10-0.30,49072,5.808030564066498,8.124359239635593,8.711201535935025,10.79257884431867
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,30,0.30-0.50,17899,13.471372797689767,19.295549776985997,19.382019927914072,22.741585499570398
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,30,0.50+,26948,41.98405063389423,50.83594848910998,50.71377732093033,57.86708993304317
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,60,0.00-0.10,818554,0.7022252728464631,1.9847697978335572,0.291937604238047,0.9951907148157071
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,60,0.10-0.30,49362,7.249608154871899,9.505515060131101,11.322287135496346,13.7529954329003
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,60,0.30-0.50,23786,15.865236781753664,21.197651953834622,26.518831346871565,28.79677465500664
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),42,60,0.50+,44298,58.29580502851246,68.99719047557775,71.52171556189602,79.41411709651686
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,5,0.00-0.10,870695,0.11247394975346596,0.3796323195474999,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,5,0.10-0.30,41429,1.7241305657717192,3.342686061891384,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,5,0.30-0.50,11440,4.052041164514693,6.941044372399046,5.389570514769196,7.850880605646717
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,5,0.50+,12436,9.13388481373839,11.722522190988482,10.86350979409865,13.455957836388228
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,15,0.00-0.10,858790,0.29852639533923925,0.8783553248317175,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,15,0.10-0.30,45324,3.738123047220724,5.863200336188696,5.551429416960648,7.52614404114484
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,15,0.30-0.50,14100,9.378970794009824,14.727745753585447,13.154482909762265,17.345726286586768
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,15,0.50+,17786,24.09697946407765,30.629667581316017,30.235548896856844,36.21862047951262
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,30,0.00-0.10,842081,0.5157984728900806,1.488775184356651,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,30,0.10-0.30,49072,5.676754519029393,7.978569119054427,8.711201535935025,10.79257884431867
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,30,0.30-0.50,17899,13.16779260845436,18.664511633891536,19.382019927914072,22.741585499570398
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,30,0.50+,26948,38.450407291115155,46.79729394199827,50.71377732093033,57.86708993304317
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,60,0.00-0.10,818554,0.7170981885394709,2.0947834985725238,0.291937604238047,0.9951907148157071
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,60,0.10-0.30,49362,7.125886552120937,9.491021381120989,11.322287135496346,13.7529954329003
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,60,0.30-0.50,23786,15.226765044386228,20.879689003951825,26.518831346871565,28.79677465500664
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),44,60,0.50+,44298,53.322452875573646,63.2508766601656,71.52171556189602,79.41411709651686
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,5,0.00-0.10,870695,0.12833573356865255,0.41153689342896016,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,5,0.10-0.30,41429,1.8590812320447843,3.563119936053336,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,5,0.30-0.50,11440,4.502066903702029,7.458656988310189,5.389570514769196,7.850880605646717
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,5,0.50+,12436,9.98046404249839,12.678485858383869,10.86350979409865,13.455957836388228
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,15,0.00-0.10,858790,0.3626868554097088,1.0108078595228802,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,15,0.10-0.30,45324,4.182655063310909,6.429889785716907,5.551429416960648,7.52614404114484
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,15,0.30-0.50,14100,10.769310221393058,16.07568137396129,13.154482909762265,17.345726286586768
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,15,0.50+,17786,27.179077352599997,33.84755603031083,30.235548896856844,36.21862047951262
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,30,0.00-0.10,842081,0.5846338661821605,1.5512561128945037,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,30,0.10-0.30,49072,6.15121213221096,8.539831103097379,8.711201535935025,10.79257884431867
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,30,0.30-0.50,17899,14.735613812367419,20.20260903403832,19.382019927914072,22.741585499570398
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,30,0.50+,26948,44.940581324768644,53.71613507396085,50.71377732093033,57.86708993304317
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,60,0.00-0.10,818554,0.6485239370872573,1.603190032093133,0.291937604238047,0.9951907148157071
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,60,0.10-0.30,49362,7.713519236067841,10.21724585940495,11.322287135496346,13.7529954329003
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,60,0.30-0.50,23786,18.5420056246362,23.303420450278598,26.518831346871565,28.79677465500664
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),52,60,0.50+,44298,64.13597570946429,74.45553964293329,71.52171556189602,79.41411709651686
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,5,0.00-0.10,870695,0.1268092008538558,0.40778136323756237,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,5,0.10-0.30,41429,1.7438198225880008,3.3816534772775597,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,5,0.30-0.50,11440,4.153392948340494,7.052715287646421,5.389570514769196,7.850880605646717
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,5,0.50+,12436,9.295183151298952,11.886509171458053,10.86350979409865,13.455957836388228
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,15,0.00-0.10,858790,0.3021579304175155,0.8124557181270349,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,15,0.10-0.30,45324,3.8763333935323123,6.099170088610445,5.551429416960648,7.52614404114484
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,15,0.30-0.50,14100,9.74262651145881,15.356483844175767,13.154482909762265,17.345726286586768
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,15,0.50+,17786,25.77828823193031,32.56962294142026,30.235548896856844,36.21862047951262
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,30,0.00-0.10,842081,0.530559603011914,1.3622884288384918,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,30,0.10-0.30,49072,5.823096968941111,8.157084354517327,8.711201535935025,10.79257884431867
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,30,0.30-0.50,17899,13.439503339250845,19.22998834691663,19.382019927914072,22.741585499570398
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,30,0.50+,26948,42.010058004547865,50.604547172664105,50.71377732093033,57.86708993304317
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,60,0.00-0.10,818554,0.7089177718646165,1.874476072028679,0.291937604238047,0.9951907148157071
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,60,0.10-0.30,49362,7.314230552329056,9.714236130428805,11.322287135496346,13.7529954329003
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,60,0.30-0.50,23786,16.3301432501961,21.716762483650612,26.518831346871565,28.79677465500664
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),77,60,0.50+,44298,58.394661310149765,68.6844306332473,71.52171556189602,79.41411709651686
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,5,0.00-0.10,870695,0.12159114898619708,0.3781489981598862,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,5,0.10-0.30,41429,1.7046992810509,3.387897573334294,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,5,0.30-0.50,11440,4.090347143241784,7.053163946941616,5.389570514769196,7.850880605646717
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,5,0.50+,12436,9.18795428966433,11.834565349618362,10.86350979409865,13.455957836388228
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,15,0.00-0.10,858790,0.30932570270504667,0.829984420472582,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,15,0.10-0.30,45324,3.700248783107611,6.019562816483786,5.551429416960648,7.52614404114484
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,15,0.30-0.50,14100,9.614131709679643,15.333203160417197,13.154482909762265,17.345726286586768
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,15,0.50+,17786,25.08680702569473,31.771717389524824,30.235548896856844,36.21862047951262
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,30,0.00-0.10,842081,0.5193502011182585,1.3945245454853445,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,30,0.10-0.30,49072,5.415772275153801,7.887971033056986,8.711201535935025,10.79257884431867
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,30,0.30-0.50,17899,13.243952740689977,19.319536580406968,19.382019927914072,22.741585499570398
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,30,0.50+,26948,41.361345493184785,50.019853285790894,50.71377732093033,57.86708993304317
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,60,0.00-0.10,818554,0.7339570590857204,2.0677581732781065,0.291937604238047,0.9951907148157071
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,60,0.10-0.30,49362,6.667294937412841,9.031254553727994,11.322287135496346,13.7529954329003
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,60,0.30-0.50,23786,15.282840284669327,20.937405842634178,26.518831346871565,28.79677465500664
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),2026,60,0.50+,44298,56.520403094636464,67.39528749267751,71.52171556189602,79.41411709651686
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,5,0.00-0.10,870695,0.13363322986180276,0.4139002573005544,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,5,0.10-0.30,41429,1.7278614616838752,3.3649652898701934,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,5,0.30-0.50,11440,4.1455496510269345,7.035305175850083,5.389570514769196,7.850880605646717
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,5,0.50+,12436,9.411798324585728,12.032602928575487,10.86350979409865,13.455957836388228
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,15,0.00-0.10,858790,0.38566294221230657,1.0158815885048962,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,15,0.10-0.30,45324,3.7299422776702484,5.881405562006004,5.551429416960648,7.52614404114484
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,15,0.30-0.50,14100,9.528222622283806,14.916471744921884,13.154482909762265,17.345726286586768
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,15,0.50+,17786,25.05879967392704,31.791391605984344,30.235548896856844,36.21862047951262
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,30,0.00-0.10,842081,0.6400586677089996,1.68075537249675,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,30,0.10-0.30,49072,5.572517934465738,7.884552639055048,8.711201535935025,10.79257884431867
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,30,0.30-0.50,17899,13.034571505114382,18.732937080803588,19.382019927914072,22.741585499570398
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,30,0.50+,26948,40.698402819894305,49.72750027154478,50.71377732093033,57.86708993304317
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,60,0.00-0.10,818554,0.8764537101604537,2.38698366641037,0.291937604238047,0.9951907148157071
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,60,0.10-0.30,49362,6.922436687201931,9.299103977145078,11.322287135496346,13.7529954329003
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,60,0.30-0.50,23786,15.138060464561711,20.774069400453605,26.518831346871565,28.79677465500664
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),42,60,0.50+,44298,56.26135744943947,67.07741457840271,71.52171556189602,79.41411709651686
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,5,0.00-0.10,870695,0.14644135360649754,0.4472902102740879,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,5,0.10-0.30,41429,1.7828247789300273,3.403462274191049,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,5,0.30-0.50,11440,4.21235105153043,7.095185044640686,5.389570514769196,7.850880605646717
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,5,0.50+,12436,9.41634813533906,12.023983384194974,10.86350979409865,13.455957836388228
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,15,0.00-0.10,858790,0.37677865441492886,1.0639568075466184,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,15,0.10-0.30,45324,3.9341788016658796,6.077053142323003,5.551429416960648,7.52614404114484
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,15,0.30-0.50,14100,9.909772791443986,15.27217861229052,13.154482909762265,17.345726286586768
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,15,0.50+,17786,25.39627508617528,32.1777301440636,30.235548896856844,36.21862047951262
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,30,0.00-0.10,842081,0.5913856231949556,1.6605761992438732,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,30,0.10-0.30,49072,5.8483503949833,8.146886142401204,8.711201535935025,10.79257884431867
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,30,0.30-0.50,17899,13.627666097855101,19.257691244750937,19.382019927914072,22.741585499570398
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,30,0.50+,26948,41.79743571784494,50.79222066002167,50.71377732093033,57.86708993304317
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,60,0.00-0.10,818554,0.8504491218333302,2.463023347805054,0.291937604238047,0.9951907148157071
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,60,0.10-0.30,49362,7.515728658101501,9.920894361582345,11.322287135496346,13.7529954329003
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,60,0.30-0.50,23786,16.0972134563732,21.375148882262675,26.518831346871565,28.79677465500664
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),44,60,0.50+,44298,57.692162685550045,68.5092820935195,71.52171556189602,79.41411709651686
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,5,0.00-0.10,870695,0.16646942682663535,0.4544821316690855,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,5,0.10-0.30,41429,1.7771733425196674,3.4321559586485493,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,5,0.30-0.50,11440,4.231312243411174,7.159495427917577,5.389570514769196,7.850880605646717
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,5,0.50+,12436,9.459224800303957,12.09274499974115,10.86350979409865,13.455957836388228
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,15,0.00-0.10,858790,0.3785653929346892,1.0752187970153677,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,15,0.10-0.30,45324,3.9039871148359384,6.126606611487199,5.551429416960648,7.52614404114484
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,15,0.30-0.50,14100,9.963814868783274,15.440015480345574,13.154482909762265,17.345726286586768
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,15,0.50+,17786,25.63620293574728,32.50918959579036,30.235548896856844,36.21862047951262
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,30,0.00-0.10,842081,0.5922541373662094,1.6616485159816574,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,30,0.10-0.30,49072,5.805403201600623,8.217103737862441,8.711201535935025,10.79257884431867
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,30,0.30-0.50,17899,13.60376739191925,19.534173003461827,19.382019927914072,22.741585499570398
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,30,0.50+,26948,42.347889475737865,51.583486912018074,50.71377732093033,57.86708993304317
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,60,0.00-0.10,818554,0.8003547817361601,2.3812509272937152,0.291937604238047,0.9951907148157071
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,60,0.10-0.30,49362,7.473091277188996,9.879416134984902,11.322287135496346,13.7529954329003
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,60,0.30-0.50,23786,15.688703746483121,21.431047103540365,26.518831346871565,28.79677465500664
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),52,60,0.50+,44298,58.3698274732804,69.68063990457848,71.52171556189602,79.41411709651686
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,5,0.00-0.10,870695,0.15215675293331524,0.46041135535913125,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,5,0.10-0.30,41429,1.7404618388632491,3.421243086837937,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,5,0.30-0.50,11440,4.189978129119723,7.159388857723807,5.389570514769196,7.850880605646717
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,5,0.50+,12436,9.637869802720296,12.316456299658828,10.86350979409865,13.455957836388228
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,15,0.00-0.10,858790,0.42885206134562887,1.144241352728325,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,15,0.10-0.30,45324,3.780340181727578,6.0317426731604975,5.551429416960648,7.52614404114484
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,15,0.30-0.50,14100,9.686015289620304,15.355089519111859,13.154482909762265,17.345726286586768
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,15,0.50+,17786,26.026974769406973,32.72102358950963,30.235548896856844,36.21862047951262
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,30,0.00-0.10,842081,0.777570414768396,2.0414874157278025,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,30,0.10-0.30,49072,5.688081594517459,8.031333787371155,8.711201535935025,10.79257884431867
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,30,0.30-0.50,17899,13.142139749794316,19.13693257995185,19.382019927914072,22.741585499570398
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,30,0.50+,26948,42.676314511178106,51.091886910343206,50.71377732093033,57.86708993304317
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,60,0.00-0.10,818554,1.1855933430701933,3.180259858017933,0.291937604238047,0.9951907148157071
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,60,0.10-0.30,49362,7.3691731704250545,9.744060046611173,11.322287135496346,13.7529954329003
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,60,0.30-0.50,23786,15.030216576573347,20.924741836477015,26.518831346871565,28.79677465500664
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),77,60,0.50+,44298,58.54408768163728,68.76952067346056,71.52171556189602,79.41411709651686
