dataset,location,model_type,model_label,lead_minutes,threshold_m,seed_count,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,f1_mean,f1_std,false_positive_rate_mean,false_positive_rate_std,persistence_csi_mean,persistence_csi_std,persistence_pod_mean,persistence_pod_std,persistence_far_mean,persistence_far_std,persistence_f1_mean,persistence_f1_std,persistence_false_positive_rate_mean,persistence_false_positive_rate_std
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.05,5,0.9289453564575665,0.0035731767825820703,0.941841516771998,0.0028461005109160138,0.01452570518471126,0.0024334288455294083,0.9631604386242925,0.0019191083280239902,0.0017144571805797276,0.0002916504343773228,0.9234984825346504,0.0,0.9289936801166747,0.0,0.006364458865004836,0.0,0.9602279293901281,0.0,0.0007345616035527816,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.1,5,0.920248202079408,0.0030869356532770937,0.9314968226016385,0.00347566129107719,0.012948603052483696,0.0010678207723426988,0.9584652816426165,0.0016749075814711703,0.0009167389269491614,7.84268540590925e-05,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.2,5,0.9047946051882543,0.004214481787893202,0.9199946229331899,0.006790053856277439,0.01788933040831634,0.003044990542017554,0.9500128745080206,0.002328203131203139,0.0006947001852459655,0.00012510679129862026,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0,0.9282071175093027,0.0,0.00011682178003015115,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.3,5,0.8892819218967397,0.0034482957200416406,0.9118612832970346,0.007125519028063082,0.027012583444119283,0.0054097541294310355,0.9413932092480175,0.0019349194398586103,0.0006643833513864343,0.00014175496442135488,0.8437696072280085,0.0,0.8448651365387837,0.0,0.0015344255803593527,0.0,0.9152657728169877,0.0,3.3986607084124524e-05,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.05,5,0.8106329046416758,0.012285763785890037,0.862867923875133,0.008090987942837557,0.06919384394170298,0.020389044031825218,0.8953629273923098,0.007507262319551448,0.009114720770111146,0.0029694083064953844,0.8116672514269577,0.0,0.820869429755857,0.0,0.013623269792739109,0.0,0.8960445145626482,0.0,0.001596678907871627,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.1,5,0.8039796094065321,0.008571656410566118,0.8269550576350214,0.011237358134308366,0.03328136149580154,0.0066098165348924326,0.8913149565056397,0.005274597488611403,0.002567565994014835,0.0005433101537333367,0.7540115883191798,0.0,0.760134697578034,0.0,0.010570325539052886,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.2,5,0.773528448792548,0.014430140794873215,0.7942220055533182,0.018332444020352317,0.032345198738433126,0.005367997896673438,0.8722294782532709,0.009224188475961433,0.0014155831151604205,0.0002693817558117519,0.6759391846361186,0.0,0.6803662646516458,0.0,0.00953468279437176,0.0,0.8066392752585221,0.0,0.0003476515518872754,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.3,5,0.7476283628222097,0.013359481515202437,0.7764285266261055,0.020634170243483255,0.04669777061223414,0.010840519792318242,0.8555244175886358,0.008831906928122944,0.0013531479437327593,0.00035853089707041066,0.629461632308318,0.0,0.6310606535783729,0.0,0.004009305548680889,0.0,0.7726007410393749,0.0,8.959047199800026e-05,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.05,5,0.7054805024955042,0.029446463845593525,0.8118370182433249,0.023150873871451854,0.15364415636911208,0.056896273834652886,0.8269583074751615,0.020368595171257192,0.025320570256655316,0.01233805048891633,0.6993339181373497,0.0,0.7103494623655914,0.0,0.021693237242483804,0.0,0.823068274778972,0.0,0.0025959221870457756,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.1,5,0.6915010585661954,0.01373533383825388,0.746511355529765,0.025435870460989145,0.09480876014205501,0.025345170515977174,0.8175397689159787,0.009663722159628579,0.008862805359579423,0.002927255741613199,0.6141999367955335,0.0,0.6208115503785177,0.0,0.017044017735219245,0.0,0.7609961105745386,0.0,0.0012005970922037191,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.2,5,0.6511658302405501,0.021050934375573437,0.6759741299266802,0.026066292957335764,0.052691777809737134,0.010453660112993925,0.7885362065950325,0.015563547027148112,0.0027105985571254237,0.0006512530644915098,0.5045513654096229,0.0,0.5093330771939936,0.0,0.0182670945445569,0.0,0.6707000864304236,0.0,0.000677706878037947,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.3,5,0.6247884155132922,0.024339701845698523,0.6521105090641515,0.03146740426371223,0.06163920625411074,0.012377935121390455,0.7687901396910951,0.018716163788223602,0.0021818924472004246,0.0005605614680248998,0.44571619068785423,0.0,0.4471871028162419,0.0,0.007325644706231748,0.0,0.6166026133743274,0.0,0.00016607698116933905,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.05,5,0.6368759522699574,0.03909123352048723,0.8017005714285714,0.037374227637083764,0.23994312853654212,0.06788230185509275,0.7774655066392964,0.029103351990739195,0.05163429666294108,0.02005647625464793,0.595591200322595,0.0,0.60768,0.0,0.032321467569338284,0.0,0.7465461080534651,0.0,0.003969982436532013,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.1,5,0.6105924041235038,0.0246601824973764,0.7056604737496381,0.04787482363717186,0.1752634186585339,0.05094091618417042,0.7579267948356571,0.019208566047741512,0.022355275278112378,0.009101834190609712,0.4862776423106029,0.0,0.49242204928222333,0.0,0.025018122966434582,0.0,0.6543563981149901,0.0,0.0018129530855630783,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.2,5,0.5474968253866904,0.030061207586895997,0.5856213065465562,0.03842869055919566,0.10401421871618428,0.022918495644525052,0.7070960045819396,0.025444357102104544,0.0070596603119910594,0.0019278659157463307,0.3608003835266186,0.0,0.36412123166952737,0.0,0.0246544063194273,0.0,0.5302767222795407,0.0,0.0009408955111394257,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.3,5,0.5104988523378843,0.03616508106610452,0.5359643969214499,0.0455528915298193,0.08123527290727012,0.02407207830723678,0.6751595830435653,0.032357069821269756,0.0038317072159056867,0.0014680349407911262,0.29212463594186777,0.0,0.2931672639680395,0.0,0.012027916646042667,0.0,0.4521616999105191,0.0,0.00027998101198733517,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,0.05,5,0.9286325556459677,0.0038569657717528643,0.9371142440447253,0.003998664473924187,0.009650143575838082,0.0011820828730334406,0.9629916765940333,0.002077542864604427,0.001127528056172358,0.00014012505865751676,0.9234984825346504,0.0,0.9289936801166747,0.0,0.006364458865004836,0.0,0.9602279293901281,0.0,0.0007345616035527816,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,0.1,5,0.9130330953043313,0.0021392363078930523,0.9193844269198377,0.0026734979458848994,0.007505738897842082,0.0007462142440777359,0.9545384730773838,0.001169048589072238,0.0005216522433228628,5.340450128689629e-05,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,0.2,5,0.8935434563156722,0.0025655977194155456,0.8988842586369136,0.0035739094324212573,0.006595854276114262,0.0011990761990385383,0.943777252740532,0.0014310457378307352,0.00024721713831142464,4.622480040346767e-05,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0,0.9282071175093027,0.0,0.00011682178003015115,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,0.3,5,0.8800226426087027,0.0026229885954099394,0.8880717038029821,0.004912624355168061,0.010162422969313911,0.002812606651976348,0.9361809555866275,0.0014834749913730776,0.0002392218601856765,6.848550353978848e-05,0.8437696072280085,0.0,0.8448651365387837,0.0,0.0015344255803593527,0.0,0.9152657728169877,0.0,3.3986607084124524e-05,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,15,0.05,5,0.8210047872759041,0.007005984152358086,0.8538499485058029,0.007531646289576074,0.04458969926100723,0.012585644811519433,0.9016889123654159,0.00424616493801136,0.005643711461838765,0.001698175533301804,0.8116672514269577,0.0,0.820869429755857,0.0,0.013623269792739109,0.0,0.8960445145626482,0.0,0.001596678907871627,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,15,0.1,5,0.7930998210857813,0.0029776083213037302,0.8073125242844191,0.005198161142357455,0.021660234904294858,0.004761964695194041,0.8846100536653699,0.001851558208590679,0.0016106382235470838,0.0003690607407844717,0.7540115883191798,0.0,0.760134697578034,0.0,0.010570325539052886,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,15,0.2,5,0.7499405228441675,0.005043499003131284,0.7605756798575637,0.006241086706904761,0.018272612253315168,0.0020651130109837538,0.8570945287203007,0.0032909754480429988,0.0007522324517535027,9.123219052202285e-05,0.6759391846361186,0.0,0.6803662646516458,0.0,0.00953468279437176,0.0,0.8066392752585221,0.0,0.0003476515518872754,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,15,0.3,5,0.7256472733143416,0.003920091884928307,0.7383553910807251,0.0058969186061840545,0.023110151872811617,0.0038130880937329334,0.841008615859151,0.002633064563479951,0.0006171788070973351,0.00010849719463450807,0.629461632308318,0.0,0.6310606535783729,0.0,0.004009305548680889,0.0,0.7726007410393749,0.0,8.959047199800026e-05,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,30,0.05,5,0.7284143436955319,0.018712686411506876,0.8014845354597077,0.015604487318205476,0.11057777180887006,0.029802906937210764,0.842732511511021,0.012704242155690493,0.016633564303207695,0.005233224074018208,0.6993339181373497,0.0,0.7103494623655914,0.0,0.021693237242483804,0.0,0.823068274778972,0.0,0.0025959221870457756,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,30,0.1,5,0.683626962191901,0.010510922850286989,0.7194284436588976,0.013813458558897098,0.06747773713424486,0.014573820029147828,0.8120422647087489,0.007389855170774392,0.005841718314508937,0.0014240450426473003,0.6141999367955335,0.0,0.6208115503785177,0.0,0.017044017735219245,0.0,0.7609961105745386,0.0,0.0012005970922037191,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,30,0.2,5,0.6237608667548304,0.010730508562777916,0.6400729997118433,0.013534692104840564,0.039013480045497165,0.005850059725709477,0.7682379592850542,0.008107771909984155,0.0018652965997889035,0.00032608260026200113,0.5045513654096229,0.0,0.5093330771939936,0.0,0.0182670945445569,0.0,0.6707000864304236,0.0,0.000677706878037947,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,30,0.3,5,0.5961085766339268,0.011277867611809617,0.6119740450866279,0.013950485048586498,0.04140480478186464,0.006539752309261941,0.7468898360909602,0.008856409816724978,0.0013357975566485217,0.00024474588455742117,0.44571619068785423,0.0,0.4471871028162419,0.0,0.007325644706231748,0.0,0.6166026133743274,0.0,0.00016607698116933905,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,60,0.05,5,0.6695843495117152,0.02033841096491877,0.7864137142857143,0.03147234333414191,0.1794599958187472,0.03657654561978325,0.8019178160990318,0.014714575816944285,0.034236627814146575,0.00935215072219493,0.595591200322595,0.0,0.60768,0.0,0.032321467569338284,0.0,0.7465461080534651,0.0,0.003969982436532013,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,60,0.1,5,0.6118377309649644,0.018014857649832534,0.6849190266164875,0.027583153240130383,0.14632201258322397,0.03438725540525922,0.7590251552093534,0.013882122109773996,0.01716245965446385,0.005337153350251453,0.4862776423106029,0.0,0.49242204928222333,0.0,0.025018122966434582,0.0,0.6543563981149901,0.0,0.0018129530855630783,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,60,0.2,5,0.5391191266797114,0.01609874586534387,0.573820686795148,0.0203707987877824,0.1000832500499573,0.016508406231379114,0.700413179148929,0.013599849066254175,0.006567662634201258,0.00136099313375642,0.3608003835266186,0.0,0.36412123166952737,0.0,0.0246544063194273,0.0,0.5302767222795407,0.0,0.0009408955111394257,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,60,0.3,5,0.4980986056145714,0.01632830306405066,0.5234093179014159,0.018903400190021017,0.08815096267177616,0.006831949139019898,0.6648157659811066,0.014554058634066917,0.003977573866595385,0.0004212490063905479,0.29212463594186777,0.0,0.2931672639680395,0.0,0.012027916646042667,0.0,0.4521616999105191,0.0,0.00027998101198733517,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,0.05,5,0.9276140936006783,0.0028234456902772385,0.9381934856587263,0.0060266825768693294,0.011954652290976696,0.004693004938922552,0.9624456989785676,0.0015206697920994408,0.0014071895817079757,0.0005664089710502901,0.9234984825346504,0.0,0.9289936801166747,0.0,0.006364458865004836,0.0,0.9602279293901281,0.0,0.0007345616035527816,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,0.1,5,0.9117141518208064,0.005939802800284612,0.917794962100911,0.007644088438939456,0.007181796424200016,0.002037944571416453,0.95380837908836,0.0032538544819828903,0.0004993711919788215,0.0001466647610007874,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,0.2,5,0.8875013549161644,0.008698526677970508,0.89171662857911,0.010418871391999722,0.00524871391920969,0.002343633972363554,0.9403756160771929,0.004881357515261676,0.00019581555509815812,9.08024814459703e-05,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0,0.9282071175093027,0.0,0.00011682178003015115,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,0.3,5,0.872279096897741,0.009096654117582785,0.8759758753560061,0.011294438585039542,0.004741658102865351,0.0030817629435078374,0.9317579983273311,0.005185482781476874,0.00011029202169880411,7.393476646844542e-05,0.8437696072280085,0.0,0.8448651365387837,0.0,0.0015344255803593527,0.0,0.9152657728169877,0.0,3.3986607084124524e-05,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.05,5,0.8216689645745923,0.007561169049979487,0.860775268938181,0.018167795281024964,0.051699390344708995,0.017279177324210453,0.9020867390147986,0.004564571816461796,0.006696056934400874,0.0024460777954950735,0.8116672514269577,0.0,0.820869429755857,0.0,0.013623269792739109,0.0,0.8960445145626482,0.0,0.001596678907871627,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.1,5,0.7890250415727628,0.012393535003717785,0.8054371195441005,0.01764401753258773,0.024835269525586335,0.007922220017828356,0.8820185197617193,0.00781576174651762,0.0018614562349351996,0.0006407676750778589,0.7540115883191798,0.0,0.760134697578034,0.0,0.010570325539052886,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.2,5,0.7363587549533045,0.01690051024636325,0.7443481209860319,0.01863095892918056,0.014232108939002081,0.0028861207387181373,0.8480538854783444,0.01134435736761903,0.000573343789131895,0.00012957082758330315,0.6759391846361186,0.0,0.6803662646516458,0.0,0.00953468279437176,0.0,0.8066392752585221,0.0,0.0003476515518872754,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.3,5,0.7059190160703604,0.016160164065901015,0.7110393276045913,0.017347603810232527,0.009996218827220623,0.002750121486305356,0.827505003129786,0.011232259165331595,0.000254613909307897,7.55149828841499e-05,0.629461632308318,0.0,0.6310606535783729,0.0,0.004009305548680889,0.0,0.7726007410393749,0.0,8.959047199800026e-05,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.05,5,0.7196246747564731,0.015076781289680902,0.7992977528089887,0.04024942656160964,0.11701390524596023,0.047125069020585005,0.8368659295498934,0.010217706539063339,0.018268024610238336,0.009032569808860537,0.6993339181373497,0.0,0.7103494623655914,0.0,0.021693237242483804,0.0,0.823068274778972,0.0,0.0025959221870457756,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.1,5,0.6769422972710379,0.024373444836553775,0.7147946634866215,0.03744114950155423,0.0700967454178896,0.025017338568741693,0.807096647536229,0.017646643424332396,0.006174702908627555,0.002539684184665195,0.6141999367955335,0.0,0.6208115503785177,0.0,0.017044017735219245,0.0,0.7609961105745386,0.0,0.0012005970922037191,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.2,5,0.6029497135756885,0.02943110116582554,0.6190855825569109,0.03474611868692143,0.04016575329243005,0.010725056848777045,0.7518694647499804,0.023462273164568292,0.001886131507188043,0.0005880600098024417,0.5045513654096229,0.0,0.5093330771939936,0.0,0.0182670945445569,0.0,0.6707000864304236,0.0,0.000677706878037947,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.3,5,0.5664057710672192,0.029498054730731766,0.5731933016701228,0.03185765216283883,0.01982045494664448,0.006686518123621736,0.7227285248126551,0.024593607853157222,0.0005936129935039214,0.0002288134835566347,0.44571619068785423,0.0,0.4471871028162419,0.0,0.007325644706231748,0.0,0.6166026133743274,0.0,0.00016607698116933905,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.05,5,0.6283171968174941,0.05632247676865515,0.7726654693877552,0.06431102442011155,0.2146957478181119,0.10680432937676788,0.77021658522912,0.04399996354324188,0.04732275267443717,0.034755525310470436,0.595591200322595,0.0,0.60768,0.0,0.032321467569338284,0.0,0.7465461080534651,0.0,0.003969982436532013,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.1,5,0.5877066181000508,0.036362502720094864,0.6734993103213391,0.07436972850542672,0.16309331275787034,0.06908761115420915,0.7396400128726747,0.029754919238699117,0.020664000175919975,0.012537277360839294,0.4862776423106029,0.0,0.49242204928222333,0.0,0.025018122966434582,0.0,0.6543563981149901,0.0,0.0018129530855630783,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.2,5,0.5118021666832343,0.047555499659833446,0.5464295176767386,0.061627260923306004,0.10271126640010977,0.03290152450079836,0.6757126629025648,0.04333731513526445,0.0066993173502780876,0.0027396831838261463,0.3608003835266186,0.0,0.36412123166952737,0.0,0.0246544063194273,0.0,0.5302767222795407,0.0,0.0009408955111394257,0.0
